Extraction Date,Depart Date,Airline Name,Airline Code,Price,Depart Time,Arrival Time,Duration,Departure Airport,Arrival Airport,Free Checked Baggage,Free Carry On Baggage
2024-08-29,2024-09-01,大灣區航空,GB,1019,10:50,16:40,4小時50分,HKG,NRT,No,Yes
2024-08-29,2024-09-01,大灣區航空,GB,1023,09:20,15:00,4小時40分,HKG,NRT,No,Yes
2024-08-29,2024-09-01,香港快運航空,UO,1032,15:00,20:30,4小時30分,HKG,NRT,No,No
2024-08-29,2024-09-01,香港快運航空,UO,1032,20:00,01:20,4小時20分,HKG,HND,No,No
2024-08-29,2024-09-01,香港快運航空,UO,1244,17:35,22:55,4小時20分,HKG,HND,No,No
2024-08-29,2024-09-01,香港快運航空,UO,1367,13:00,18:25,4小時25分,HKG,NRT,No,No
2024-08-29,2024-09-01,香港航空,HX,1368,15:25,20:55,4小時30分,HKG,NRT,No,Yes
2024-08-29,2024-09-01,香港快運航空,UO,1387,09:15,14:45,4小時30分,HKG,NRT,No,No
2024-08-29,2024-09-01,香港快運航空,UO,1477,10:35,16:05,4小時30分,HKG,NRT,No,No
2024-08-29,2024-09-01,香港航空,HX,1580,02:35,08:20,4小時45分,HKG,NRT,No,Yes
2024-08-29,2024-09-01,香港航空,HX,1580,07:50,13:30,4小時40分,HKG,NRT,No,Yes
2024-08-29,2024-09-01,香港航空,HX,1580,09:15,14:55,4小時40分,HKG,NRT,No,Yes
2024-08-29,2024-09-01,香港快運航空,UO,1755,23:40,05:00,4小時20分,HKG,HND,No,No
2024-08-29,2024-09-01,國泰航空,CX,5422,01:20,06:45,4小時25分,HKG,NRT,Yes,Yes
2024-08-29,2024-09-01,國泰航空,CX,5422,08:15,13:40,4小時25分,HKG,NRT,Yes,Yes
2024-08-29,2024-09-01,國泰航空,CX,5422,09:05,14:30,4小時25分,HKG,NRT,Yes,Yes
2024-08-29,2024-09-01,國泰航空,CX,5422,10:40,16:05,4小時25分,HKG,NRT,Yes,Yes
2024-08-29,2024-09-01,國泰航空,CX,5422,15:10,20:35,4小時25分,HKG,NRT,Yes,Yes
2024-08-29,2024-09-01,國泰航空,CX,5935,08:45,13:55,4小時10分,HKG,HND,Yes,Yes
2024-08-29,2024-09-01,國泰航空,CX,5935,16:20,21:35,4小時15分,HKG,HND,Yes,Yes
2024-08-29,2024-09-02,香港航空,HX,965,15:25,20:55,4小時30分,HKG,NRT,No,Yes
2024-08-29,2024-09-02,大灣區航空,GB,1019,10:50,16:40,4小時50分,HKG,NRT,No,Yes
2024-08-29,2024-09-02,大灣區航空,GB,1026,09:20,15:00,4小時40分,HKG,NRT,No,Yes
2024-08-29,2024-09-02,香港快運航空,UO,1032,14:15,19:45,4小時30分,HKG,NRT,No,No
2024-08-29,2024-09-02,香港快運航空,UO,1032,15:00,20:30,4小時30分,HKG,NRT,No,No
2024-08-29,2024-09-02,香港快運航空,UO,1032,17:35,22:55,4小時20分,HKG,HND,No,No
2024-08-29,2024-09-02,香港快運航空,UO,1032,20:00,01:20,4小時20分,HKG,HND,No,No
2024-08-29,2024-09-02,香港快運航空,UO,1060,10:35,16:05,4小時30分,HKG,NRT,No,No
2024-08-29,2024-09-02,香港快運航空,UO,1156,23:40,05:00,4小時20分,HKG,HND,No,No
2024-08-29,2024-09-02,香港快運航空,UO,1228,09:15,14:45,4小時30分,HKG,NRT,No,No
2024-08-29,2024-09-02,香港快運航空,UO,1334,13:00,18:25,4小時25分,HKG,NRT,No,No
2024-08-29,2024-09-02,香港航空,HX,1368,02:35,08:20,4小時45分,HKG,NRT,No,Yes
2024-08-29,2024-09-02,香港航空,HX,1368,07:50,13:20,4小時30分,HKG,NRT,No,Yes
2024-08-29,2024-09-02,香港航空,HX,1368,09:15,14:55,4小時40分,HKG,NRT,No,Yes
2024-08-29,2024-09-02,國泰航空,CX,5422,01:20,06:45,4小時25分,HKG,NRT,Yes,Yes
2024-08-29,2024-09-02,國泰航空,CX,5422,08:15,13:40,4小時25分,HKG,NRT,Yes,Yes
2024-08-29,2024-09-02,國泰航空,CX,5422,09:05,14:30,4小時25分,HKG,NRT,Yes,Yes
2024-08-29,2024-09-02,國泰航空,CX,5422,10:40,16:05,4小時25分,HKG,NRT,Yes,Yes
2024-08-29,2024-09-02,國泰航空,CX,5422,15:10,20:35,4小時25分,HKG,NRT,Yes,Yes
2024-08-29,2024-09-02,國泰航空,CX,5935,08:45,13:55,4小時10分,HKG,HND,Yes,Yes
2024-08-29,2024-09-02,國泰航空,CX,5935,16:20,21:35,4小時15分,HKG,HND,Yes,Yes
2024-08-29,2024-09-02,國泰航空,CX,7110,15:15,20:25,4小時10分,HKG,HND,Yes,Yes
2024-08-29,2024-09-02,國泰航空,CX,8027,10:40,16:05,4小時25分,HKG,NRT,Yes,Yes
2024-08-29,2024-09-03,香港航空,HX,966,15:25,20:55,4小時30分,HKG,NRT,No,Yes
